name,Specialty,Level,ACC,group,order,Reader
JR6,1,Junior,0.613207547,Convention,1,JRs
JR6,1,Junior,0.575471698,DynaFusion,1,JRs
JR5,1,Junior,0.443396226,Convention,2,JRs
JR5,1,Junior,0.443396226,DynaFusion,2,JRs
JR4,1,Junior,0.537735849,Convention,3,JRs
JR4,1,Junior,0.556603774,DynaFusion,3,JRs
JR3,1,Junior,0.594339623,Convention,4,JRs
JR3,1,Junior,0.603773585,DynaFusion,4,JRs
JR2,1,Junior,0.698113208,Convention,5,JRs
JR2,1,Junior,0.70754717,DynaFusion,5,JRs
JR1,1,Junior,0.556603774,Convention,6,JRs
JR1,1,Junior,0.58490566,DynaFusion,6,JRs
IR9,2,Intermediate,0.622641509,Convention,7,IRs
IR9,2,Intermediate,0.622641509,DynaFusion,7,IRs
IR8,2,Intermediate,0.575471698,Convention,8,IRs
IR8,2,Intermediate,0.547169811,DynaFusion,8,IRs
IR7,2,Intermediate,0.622641509,Convention,9,IRs
IR7,2,Intermediate,0.613207547,DynaFusion,9,IRs
IR6,2,Intermediate,0.537735849,Convention,10,IRs
IR6,2,Intermediate,0.556603774,DynaFusion,10,IRs
IR5,2,Intermediate,0.632075472,Convention,11,IRs
IR5,2,Intermediate,0.650943396,DynaFusion,11,IRs
IR4,2,Intermediate,0.594339623,Convention,12,IRs
IR4,2,Intermediate,0.603773585,DynaFusion,12,IRs
IR3,2,Intermediate,0.566037736,Convention,13,IRs
IR3,2,Intermediate,0.594339623,DynaFusion,13,IRs
IR2,2,Intermediate,0.452830189,Convention,14,IRs
IR2,2,Intermediate,0.537735849,DynaFusion,14,IRs
IR1,2,Intermediate,0.537735849,Convention,15,IRs
IR1,2,Intermediate,0.556603774,DynaFusion,15,IRs
SR5,3,Senior,0.669811321,Convention,16,SRs
SR5,3,Senior,0.641509434,DynaFusion,16,SRs
SR4,3,Senior,0.641509434,Convention,17,SRs
SR4,3,Senior,0.669811321,DynaFusion,17,SRs
SR3,3,Senior,0.632075472,Convention,19,SRs
SR3,3,Senior,0.660377358,DynaFusion,19,SRs
SR2,3,Senior,0.594339623,Convention,20,SRs
SR2,3,Senior,0.613207547,DynaFusion,20,SRs
SR1,3,Senior,0.632075472,Convention,21,SRs
SR1,3,Senior,0.660377358,DynaFusion,21,SRs
GI3,4,Junior,0.603773585,Convention,22,GISs
GI3,4,Junior,0.622641509,DynaFusion,22,GISs
GI2,4,Junior,0.490566038,Convention,23,GISs
GI2,4,Junior,0.528301887,DynaFusion,23,GISs
GI1,4,Junior,0.490566038,Convention,24,GISs
GI1,4,Junior,0.490566038,DynaFusion,24,GISs
